ConceptId,ConceptId_Description
48552006,Hypertension secondary to renal disease complicating AND/OR reason for care during pregnancy (disorder)
71874008,Benign essential hypertension complicating AND/OR reason for care during childbirth (disorder)
78808002,Essential hypertension complicating AND/OR reason for care during pregnancy (disorder)
91923005,Acquired immunodeficiency syndrome virus infection associated with pregnancy (disorder)
10755671000119100,Human immunodeficiency virus in mother complicating childbirth (disorder)
721166000,Human immunodeficiency virus complicating pregnancy childbirth and the puerperium (disorder)
449369001,Stopped smoking before pregnancy (finding)
449345000,Smoked before confirmation of pregnancy (finding)
449368009,Stopped smoking during pregnancy (finding)
88144003,Removal of ectopic interstitial uterine pregnancy requiring total hysterectomy (procedure)
240154002,Idiopathic osteoporosis in pregnancy (disorder)
956951000000104,Pertussis vaccination in pregnancy (procedure)
866641000000105,Pertussis vaccination in pregnancy declined (situation)
956971000000108,Pertussis vaccination in pregnancy given by other healthcare provider (finding)
169563005,Pregnant - on history (finding)
10231000132102,In-vitro fertilization pregnancy (finding)
134781000119106,High risk pregnancy due to recurrent miscarriage (finding)
16356006,Multiple pregnancy (disorder)
237239003,Low risk pregnancy (finding)
276367008,Wanted pregnancy (finding)
314204000,Early stage of pregnancy (finding)
439311009,Intends to continue pregnancy (finding)
713575004,Dizygotic twin pregnancy (disorder)
80997009,Quintuplet pregnancy (disorder)
1109951000000101,Pregnancy insufficiently advanced for reliable antenatal screening (finding)
1109971000000105,Pregnancy too advanced for reliable antenatal screening (finding)
237238006,Pregnancy with uncertain dates (finding)
444661007,High risk pregnancy due to history of preterm labor (finding)
459166009,Dichorionic diamniotic twin pregnancy (disorder)
459167000,Monochorionic twin pregnancy (disorder)
459168005,Monochorionic diamniotic twin pregnancy (disorder)
459171002,Monochorionic monoamniotic twin pregnancy (disorder)
47200007,High risk pregnancy (finding)
60810003,Quadruplet pregnancy (disorder)
64254006,Triplet pregnancy (disorder)
65147003,Twin pregnancy (disorder)
713576003,Monozygotic twin pregnancy (disorder)
171055003,Pregnancy smoking education (procedure)
10809101000119109,Hypothyroidism in childbirth (disorder)
428165003,Hypothyroidism in pregnancy (disorder)
